1,4,20260101110000,60,1,0,0,0,0
2,2,20260101110400,35,1,0,0,0,0
3,6,20260101111000,85,1,0,0,1,0
4,3,20260101111500,45,1,0,0,0,0
5,1,20260101112300,25,0,0,0,0,1
6,5,20260101113000,70,1,0,0,0,0
7,2,20260101113500,40,1,1,1,0,0
8,4,20260101114200,60,1,0,0,0,0
9,6,20260101114800,90,1,0,0,1,0
10,3,20260101115500,50,1,0,0,0,0
11,2,20260101120300,30,1,0,0,0,1
12,4,20260101121000,65,1,0,0,0,0
13,5,20260101121800,75,1,0,0,1,0
14,1,20260101122400,20,0,0,0,0,0
15,3,20260101123100,45,1,0,0,0,0
16,6,20260101123800,90,1,1,1,0,0
17,2,20260101124500,35,1,0,0,0,1
18,4,20260101125300,60,1,0,0,0,0
19,5,20260101130000,75,1,0,0,1,0
20,3,20260101130700,50,0,0,0,0,0
21,1,20260101131500,25,1,1,0,0,0
22,6,20260101132200,85,1,0,0,0,0
23,4,20260101133000,65,1,0,0,1,0
24,2,20260101133700,40,0,0,0,0,1
25,3,20260101134500,50,1,0,0,0,0
26,5,20260101135300,70,1,1,0,0,0
27,1,20260101140000,25,1,0,0,0,1
28,4,20260101140700,60,1,0,0,1,0
29,6,20260101141500,90,1,0,0,0,0
30,2,20260101142300,35,0,0,0,0,0
