1,2,20260101110000,45,1,0,0,0,0
2,4,20260101111300,60,1,0,0,0,1
3,1,20260101112600,25,0,0,0,0,0
4,6,20260101113900,80,1,0,0,0,0
5,2,20260101115200,35,1,0,0,1,0
6,3,20260101120500,50,1,0,0,0,0
7,4,20260101121800,55,1,1,0,0,0
8,2,20260101123100,30,1,0,0,0,0
9,8,20260101124400,90,0,0,0,0,0
10,2,20260101125700,40,1,0,0,0,1
11,3,20260101131000,45,1,0,0,0,0
12,5,20260101132300,70,1,0,0,1,0
13,2,20260101133600,30,1,0,0,0,0
14,4,20260101134900,60,1,1,1,0,0
15,1,20260101140200,20,1,0,0,0,0
16,6,20260101141500,85,1,0,0,0,0
17,2,20260101142800,35,0,0,0,0,0
18,3,20260101144100,50,1,0,0,1,0
19,4,20260101145400,65,1,0,0,0,0
20,2,20260101150700,30,1,0,0,0,1
21,5,20260101152000,75,1,1,1,0,0
22,1,20260101153300,25,1,0,0,0,0
23,3,20260101154600,45,1,0,0,0,0
24,2,20260101155900,35,0,0,0,0,0
25,4,20260101161200,60,1,0,0,1,0
26,6,20260101162500,80,1,0,0,0,0
27,2,20260101163800,40,1,0,0,0,0
28,3,20260101165100,50,1,1,0,0,0
29,1,20260101170400,25,1,0,0,0,0
30,4,20260101171700,55,1,0,0,0,0
31,2,20260101173000,30,0,0,0,0,0
32,5,20260101174300,70,1,0,0,0,0
33,8,20260101175600,90,1,0,0,1,0
34,2,20260101180900,30,1,0,0,0,0
35,3,20260101182200,45,1,0,0,0,1
36,4,20260101183500,60,1,0,0,0,0
37,1,20260101184800,20,1,0,0,0,0
38,6,20260101190100,85,0,0,0,0,0
39,2,20260101191400,35,1,0,0,0,0
40,4,20260101192700,55,1,0,0,1,0
41,3,20260101194000,50,1,0,0,0,0
42,2,20260101195300,30,1,1,1,0,0
43,5,20260101200600,70,1,0,0,0,0
44,1,20260101201900,25,0,0,0,0,0
45,4,20260101203200,60,1,0,0,0,1
46,2,20260101204500,35,1,0,0,0,0
47,6,20260101205800,80,1,0,0,0,0
48,3,20260101211100,45,1,0,0,1,0
49,2,20260101212400,30,1,0,0,0,0
50,4,20260101215000,55,1,0,0,0,0
